,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS13,SBS17,SBS18,SBS20,SBS26,SBS30
bZIP,"[11, 10, 8]","[7, 16, 6]","[11, 0, 18]","[15, 2, 12]","[14, 4, 11]","[10, 0, 19]","[18, 5, 6]","[10, 2, 17]","[6, 3, 20]","[17, 0, 12]","[6, 6, 17]","[5, 0, 24]"
bHLH,"[7, 8, 5]","[1, 16, 3]","[9, 1, 10]","[8, 0, 12]","[9, 5, 6]","[7, 1, 12]","[19, 0, 1]","[18, 0, 2]","[3, 9, 8]","[15, 0, 5]","[10, 2, 8]","[2, 9, 9]"
HMG/Sox,"[6, 0, 4]","[7, 0, 3]","[0, 1, 9]","[0, 6, 4]","[6, 0, 4]","[6, 0, 4]","[6, 1, 3]","[1, 6, 3]","[7, 0, 3]","[6, 0, 4]","[0, 6, 4]","[5, 0, 5]"
C2H2 ZF,"[21, 30, 46]","[26, 29, 42]","[16, 10, 71]","[12, 14, 71]","[16, 31, 50]","[17, 20, 60]","[26, 19, 52]","[14, 10, 73]","[16, 16, 65]","[14, 10, 73]","[22, 16, 59]","[9, 11, 77]"
Homeodomain,"[48, 2, 8]","[49, 4, 5]","[6, 1, 51]","[2, 36, 20]","[50, 2, 6]","[47, 0, 11]","[41, 5, 12]","[6, 42, 10]","[50, 0, 8]","[47, 0, 11]","[2, 49, 7]","[46, 0, 12]"
Forkhead,"[13, 5, 2]","[19, 0, 1]","[2, 4, 14]","[0, 10, 10]","[14, 2, 4]","[17, 0, 3]","[20, 0, 0]","[4, 7, 9]","[15, 1, 4]","[19, 0, 1]","[1, 17, 2]","[10, 0, 10]"
DM,"[4, 0, 0]","[4, 0, 0]","[1, 0, 3]","[0, 2, 2]","[4, 0, 0]","[4, 0, 0]","[4, 0, 0]","[0, 2, 2]","[4, 0, 0]","[4, 0, 0]","[0, 4, 0]","[4, 0, 0]"
CENPB,"[0, 3, 1]","[4, 0, 0]","[4, 0, 0]","[2, 0, 2]","[0, 2, 2]","[4, 0, 0]","[4, 0, 0]","[3, 0, 1]","[2, 0, 2]","[4, 0, 0]","[1, 2, 1]","[2, 0, 2]"
T-box,"[6, 0, 1]","[1, 5, 1]","[0, 0, 7]","[0, 1, 6]","[6, 0, 1]","[4, 0, 3]","[7, 0, 0]","[5, 0, 2]","[2, 1, 4]","[4, 0, 3]","[0, 1, 6]","[0, 1, 6]"
TBP,"[2, 0, 0]","[2, 0, 0]","[0, 0, 2]","[0, 2, 0]","[2, 0, 0]","[2, 0, 0]","[2, 0, 0]","[0, 2, 0]","[2, 0, 0]","[2, 0, 0]","[0, 2, 0]","[2, 0, 0]"
Homeodomain; POU,"[8, 0, 1]","[9, 0, 0]","[1, 0, 8]","[0, 6, 3]","[9, 0, 0]","[9, 0, 0]","[9, 0, 0]","[0, 7, 2]","[9, 0, 0]","[9, 0, 0]","[0, 9, 0]","[8, 0, 1]"
