File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF642BLI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR015LYB	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/23119/'], '@type': ['Target', 'Item'], 'name': 'HIC2-human', 'label': 'HIC2', '@id': '/targets/HIC2-human/', 'title': 'HIC2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '9544d103-d64b-45e2-9bf7-455bcaef2180', 'status': 'released'}				HIC2-human	DNA				formaldehyde		2022-03-28	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF814XWA/, /files/ENCFF741MBT/, /files/ENCFF356LFX/, /files/ENCFF678WPD/	306365	ENCODE Processing Pipeline	2b0650843d3cd00a637c2b2def51f116		https://www.encodeproject.org/files/ENCFF642BLI/@@download/ENCFF642BLI.bed.gz				released	s3://encode-public/2022/02/07/35588ed5-a2b6-445b-a180-484719d59eb9/ENCFF642BLI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/07/35588ed5-a2b6-445b-a180-484719d59eb9/ENCFF642BLI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.0 GRCh38	released	missing genetic modification reagents, low read depth		
ENCFF185UUT	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR463GOT	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:ESR1'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2099/'], '@type': ['Target', 'Item'], 'label': 'ESR1', 'title': 'ESR1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'b8217ba5-135b-45bc-80a5-0ad4d88a432f', 'schema_version': '14', 'name': 'ESR1-human', '@id': '/targets/ESR1-human/', 'status': 'released'}				ESR1-human	DNA				formaldehyde		2020-07-08	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF063JMY/, /files/ENCFF365BIT/, /files/ENCFF676OIV/	392852	ENCODE Processing Pipeline	464964b5a099bdd901dfab66de064b21		https://www.encodeproject.org/files/ENCFF185UUT/@@download/ENCFF185UUT.bed.gz				released	s3://encode-public/2020/06/30/2af5615e-5527-4644-bd15-f789e90c7dfc/ENCFF185UUT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/06/30/2af5615e-5527-4644-bd15-f789e90c7dfc/ENCFF185UUT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, low read depth		
ENCFF852EYZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR136OFY	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:NR2F1'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7025/'], '@type': ['Target', 'Item'], 'label': 'NR2F1', 'title': 'NR2F1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '618b2122-2a97-44a8-bd6a-f473c1363dd2', 'schema_version': '14', 'name': 'NR2F1-human', '@id': '/targets/NR2F1-human/', 'status': 'released'}				NR2F1-human	DNA				formaldehyde		2020-07-09	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF364JJX/, /files/ENCFF356LFX/, /files/ENCFF351APQ/, /files/ENCFF379MUZ/	331802	ENCODE Processing Pipeline	1a0a79dd9a9a89643df5bfcee47e4d14		https://www.encodeproject.org/files/ENCFF852EYZ/@@download/ENCFF852EYZ.bed.gz				released	s3://encode-public/2020/07/08/f9ceb22b-fa2a-4719-9ebb-8ffb13c05f5f/ENCFF852EYZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/08/f9ceb22b-fa2a-4719-9ebb-8ffb13c05f5f/ENCFF852EYZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF819NNH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR549PAU	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1285'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/49854/'], '@type': ['Target', 'Item'], 'name': 'ZBTB21-human', 'label': 'ZBTB21', '@id': '/targets/ZBTB21-human/', 'title': 'ZBTB21 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '05544a29-46ec-467b-987a-4677b876d11c', 'status': 'released'}				ZBTB21-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF018PSO/, /files/ENCFF421TFD/, /files/ENCFF723HPB/	166789	ENCODE Processing Pipeline	daa21ffa95c2b3f49fa08ee0fcdd1607		https://www.encodeproject.org/files/ENCFF819NNH/@@download/ENCFF819NNH.bed.gz				released	s3://encode-public/2020/07/02/3d68ed32-586f-4fa5-bb4e-18ee108b33e4/ENCFF819NNH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/02/3d68ed32-586f-4fa5-bb4e-18ee108b33e4/ENCFF819NNH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF795AWO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR617POJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/162239/'], '@type': ['Target', 'Item'], 'name': 'ZFP1-human', 'label': 'ZFP1', '@id': '/targets/ZFP1-human/', 'title': 'ZFP1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '5d03a9a5-0ee2-4c22-b409-37d6af823854', 'status': 'released'}				ZFP1-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF127ODS/, /files/ENCFF463LXE/, /files/ENCFF174OKT/, /files/ENCFF356LFX/	66442	ENCODE Processing Pipeline	16303e76c144e51a71cfe91bab023ba0		https://www.encodeproject.org/files/ENCFF795AWO/@@download/ENCFF795AWO.bed.gz				released	s3://encode-public/2020/07/01/edd93f53-67eb-4712-a113-984740ffaf15/ENCFF795AWO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/edd93f53-67eb-4712-a113-984740ffaf15/ENCFF795AWO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mixed read lengths, mild to moderate bottlenecking		
ENCFF157HQD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR748SQL	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1112'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/63977/'], '@type': ['Target', 'Item'], 'name': 'PRDM15-human', 'label': 'PRDM15', '@id': '/targets/PRDM15-human/', 'title': 'PRDM15 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'f055571b-35dc-42c2-b04f-7f0429bba36e', 'status': 'released'}				PRDM15-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF814BPN/, /files/ENCFF669ARL/, /files/ENCFF356LFX/, /files/ENCFF516IBY/	34823	ENCODE Processing Pipeline	92eb8ccfa601c06d7d99b42e8547d60d		https://www.encodeproject.org/files/ENCFF157HQD/@@download/ENCFF157HQD.bed.gz				released	s3://encode-public/2020/05/14/b78609f3-50dc-4872-9dc1-898b46373ec7/ENCFF157HQD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/05/14/b78609f3-50dc-4872-9dc1-898b46373ec7/ENCFF157HQD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF701RWL	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR350GZC	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-908'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/93134/'], '@type': ['Target', 'Item'], 'name': 'ZNF561-human', 'label': 'ZNF561', '@id': '/targets/ZNF561-human/', 'title': 'ZNF561 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'cb0d60b5-e2eb-4b5a-8492-e8fdd2c7bf84', 'status': 'released'}				ZNF561-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF628IKE/, /files/ENCFF875PPH/, /files/ENCFF174OKT/	31929	ENCODE Processing Pipeline	ba96abc5683a84bca116953c08e5190d		https://www.encodeproject.org/files/ENCFF701RWL/@@download/ENCFF701RWL.bed.gz				released	s3://encode-public/2020/07/03/843ad723-2e13-4b2e-87c3-fe116fbc5486/ENCFF701RWL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/03/843ad723-2e13-4b2e-87c3-fe116fbc5486/ENCFF701RWL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
ENCFF355HRT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR800JRG	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:TEAD4'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7004/'], '@type': ['Target', 'Item'], 'label': 'TEAD4', 'title': 'TEAD4 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'dcdb1646-e6e3-4d05-888a-3e65d464ce78', 'schema_version': '14', 'name': 'TEAD4-human', '@id': '/targets/TEAD4-human/', 'status': 'released'}				TEAD4-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF005QQU/, /files/ENCFF356LFX/, /files/ENCFF942JPJ/, /files/ENCFF723HPB/	344426	ENCODE Processing Pipeline	4c4810abfb924ffd59eaff45f9a60a37		https://www.encodeproject.org/files/ENCFF355HRT/@@download/ENCFF355HRT.bed.gz				released	s3://encode-public/2020/07/02/5926c717-473f-43af-b3f8-8b3e2050bcf7/ENCFF355HRT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/02/5926c717-473f-43af-b3f8-8b3e2050bcf7/ENCFF355HRT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF902EKZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR911MML	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1671'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6929/'], '@type': ['Target', 'Item'], 'name': 'TCF3-human', 'label': 'TCF3', '@id': '/targets/TCF3-human/', 'title': 'TCF3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e623aa7b-d26c-4226-94ba-8a3cf3108024', 'status': 'released'}				TCF3-human	DNA				formaldehyde		2020-06-30	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF545OLF/, /files/ENCFF428TCM/, /files/ENCFF317MJT/	100494	ENCODE Processing Pipeline	285ae27724842bdb3bc64647cbaa0acf		https://www.encodeproject.org/files/ENCFF902EKZ/@@download/ENCFF902EKZ.bed.gz				released	s3://encode-public/2020/06/26/4fe33b44-bb9c-42d7-8593-9e518a0b8982/ENCFF902EKZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/06/26/4fe33b44-bb9c-42d7-8593-9e518a0b8982/ENCFF902EKZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	borderline replicate concordance, missing genetic modification reagents		
ENCFF935NRC	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR041RCS	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:SOX13'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9580/'], '@type': ['Target', 'Item'], 'label': 'SOX13', 'title': 'SOX13 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'ef60a6b0-de22-4a8f-a560-35a8acaf6f25', 'schema_version': '14', 'name': 'SOX13-human', '@id': '/targets/SOX13-human/', 'status': 'released'}				SOX13-human	DNA				formaldehyde		2020-07-09	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF924FTM/, /files/ENCFF356LFX/, /files/ENCFF548DUS/, /files/ENCFF364JJX/	29475	ENCODE Processing Pipeline	48e8dfbe1b49e83f37ceb62e69d424ca		https://www.encodeproject.org/files/ENCFF935NRC/@@download/ENCFF935NRC.bed.gz				released	s3://encode-public/2020/07/08/0991d5a6-729f-48b8-9c07-7ecc3a684db1/ENCFF935NRC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/08/0991d5a6-729f-48b8-9c07-7ecc3a684db1/ENCFF935NRC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity		
