2023-12-25 10:23:06.208471	https://www.encodeproject.org/report/?type=Experiment&assay_slims=DNA+binding&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&status=released&files.file_type=bed+narrowPeak&audit.ERROR.category%21=extremely+low+read+depth&audit.ERROR.category%21=missing+control+alignments&audit.ERROR.category%21=control+extremely+low+read+depth&audit.ERROR.category%21=not+compliant+biosample+characterization&audit.ERROR.category%21=extremely+low+read+length&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR656SIB/	ENCSR656SIB	ChIP-seq	TF ChIP-seq	cell line	/targets/ZBED5-human/	ZBED5	ZBED5	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBED5	HepG2	FactorBook:ENCSR656SIB,GEO:GSE127413	Chip-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF432YLJ/,/files/ENCFF945YZW/,/files/ENCFF041KXA/,/files/ENCFF865FVY/,/files/ENCFF578MOQ/,/files/ENCFF813CAK/,/files/ENCFF169SMZ/,/files/ENCFF552EIB/,/files/ENCFF217LET/,/files/ENCFF424JGX/,/files/ENCFF619WDG/,/files/ENCFF382RNC/,/files/ENCFF253DSF/,/files/ENCFF229ODG/,/files/ENCFF093SII/,/files/ENCFF072ABQ/,/files/ENCFF168OTQ/,/files/ENCFF322AOQ/,/files/ENCFF165UPR/,/files/ENCFF089VWT/,/files/ENCFF902PRZ/,/files/ENCFF160DNR/,/files/ENCFF082QJY/,/files/ENCFF735INX/,/files/ENCFF830GTO/,/files/ENCFF696BJE/,/files/ENCFF796WUY/,/files/ENCFF790ICQ/,/files/ENCFF567RBF/,/files/ENCFF007UXD/,/files/ENCFF076GZD/,/files/ENCFF600IRF/,/files/ENCFF991BKN/,/files/ENCFF807JZW/,/files/ENCFF399DQM/,/files/ENCFF404TIG/,/files/ENCFF528NQZ/,/files/ENCFF125TTZ/,/files/ENCFF432NHJ/,/files/ENCFF117OQV/,/files/ENCFF288YST/,/files/ENCFF348CDE/,/files/ENCFF733WWA/,/files/ENCFF991QZL/,/files/ENCFF630JEV/,/files/ENCFF195YPT/,/files/ENCFF773KGI/,/files/ENCFF976YVJ/		ENCBS578CCZ,ENCBS740EJN	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/85abad11-0862-40c8-a3c3-e0e51c95d1e0/,/replicates/6c1e4cb3-e42d-4993-b853-df1a7efb6df3/				
/experiments/ENCSR762LIP/	ENCSR762LIP	ChIP-seq	TF ChIP-seq	cell line	/targets/AR-human/	AR	AR	Homo sapiens WTC11 genetically modified (insertion) using CRISPR targeting H. sapiens AR	WTC11	GEO:GSE209047	eGFP-AR ChIP-seq on human WTC11	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF581ZHE/,/files/ENCFF661ZAE/,/files/ENCFF791DAH/,/files/ENCFF177JRD/,/files/ENCFF469TWS/,/files/ENCFF199AFT/,/files/ENCFF491KTB/,/files/ENCFF406BYQ/,/files/ENCFF289ARA/,/files/ENCFF347YOC/,/files/ENCFF189SZU/,/files/ENCFF962PVZ/,/files/ENCFF970UUU/,/files/ENCFF267GQJ/,/files/ENCFF572SDX/,/files/ENCFF312ILH/,/files/ENCFF378KHY/,/files/ENCFF849VHP/,/files/ENCFF414STO/,/files/ENCFF765TML/,/files/ENCFF336RRI/,/files/ENCFF691FGU/,/files/ENCFF040OSD/,/files/ENCFF208OKH/,/files/ENCFF309AZP/,/files/ENCFF902RAS/		ENCBS126ZXI,ENCBS921ATP	1,2	1	ENCAB728YTO	Homo sapiens	adult	30 years										/organisms/human/		/replicates/96cac723-a589-43ee-af1c-2893db4c9dcf/,/replicates/cd981a79-0ca7-4da8-b2bf-7ec92fbe5688/				
/experiments/ENCSR125YGM/	ENCSR125YGM	ChIP-seq	TF ChIP-seq	cell line	/targets/ID3-human/	ID3	ID3	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens ID3	K562	GEO:GSE174997	eGFP-ID3 ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF594RIM/,/files/ENCFF691NPP/,/files/ENCFF947GML/,/files/ENCFF432UQX/,/files/ENCFF847QFE/,/files/ENCFF451RJV/,/files/ENCFF637QUF/,/files/ENCFF554NLJ/,/files/ENCFF529BJQ/,/files/ENCFF965WUK/,/files/ENCFF411OCG/,/files/ENCFF794SCQ/,/files/ENCFF302JYE/,/files/ENCFF506PKZ/,/files/ENCFF219IJM/,/files/ENCFF277CGB/,/files/ENCFF335MEX/,/files/ENCFF710VUY/,/files/ENCFF553XUK/,/files/ENCFF871MPW/,/files/ENCFF299SLF/,/files/ENCFF239QJT/,/files/ENCFF210TZS/,/files/ENCFF526HKD/,/files/ENCFF952SIQ/,/files/ENCFF194GEN/		ENCBS287STH,ENCBS494ERN	1,2	1	ENCAB728YTO	Homo sapiens	adult	53 years										/organisms/human/		/replicates/5277cd6b-a2e2-4164-8661-16016f44596a/,/replicates/f5dd8faa-2ef7-478b-8bea-8aa5396ac05d/				
/experiments/ENCSR436CZV/	ENCSR436CZV	ChIP-seq	TF ChIP-seq	cell line	/targets/AFF4-human/	AFF4	AFF4	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens AFF4	K562	GEO:GSE231174	ChIP-Seq on K562	Richard Myers, HAIB	ENCODE	released	/files/ENCFF210CAZ/,/files/ENCFF238LXS/,/files/ENCFF221SHU/,/files/ENCFF097RIZ/,/files/ENCFF451HZU/,/files/ENCFF896HDZ/,/files/ENCFF988ZGT/,/files/ENCFF320RND/,/files/ENCFF013OSO/,/files/ENCFF090KWM/,/files/ENCFF798FSS/,/files/ENCFF040PTP/,/files/ENCFF059IIP/,/files/ENCFF142MJD/,/files/ENCFF390MHW/,/files/ENCFF390TYU/,/files/ENCFF123WVL/,/files/ENCFF993LWA/,/files/ENCFF657PLA/,/files/ENCFF930NNR/,/files/ENCFF408AWB/,/files/ENCFF056IWU/,/files/ENCFF751HCS/,/files/ENCFF885KSQ/		ENCBS571AKR,ENCBS415ESV	1,2	1	ENCAB697XQW	Homo sapiens	adult	53 years										/organisms/human/		/replicates/d907282a-b1a5-4353-86c5-14ce18142441/,/replicates/9acc66c3-4f6a-4af1-b5d2-cf1f71b5a2ec/				
/experiments/ENCSR033KMZ/	ENCSR033KMZ	ChIP-seq	TF ChIP-seq	tissue	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens thyroid gland tissue male adult (54 years)	thyroid gland	GEO:GSE142884,FactorBook:ENCSR033KMZ		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF615PBA/,/files/ENCFF239PUH/,/files/ENCFF638EXT/,/files/ENCFF742FNW/,/files/ENCFF747ITA/,/files/ENCFF931SIP/,/files/ENCFF459GFR/,/files/ENCFF475GTT/,/files/ENCFF037BNE/,/files/ENCFF364NRX/,/files/ENCFF578GEI/,/files/ENCFF502EWG/,/files/ENCFF694ZGV/,/files/ENCFF532YRV/,/files/ENCFF407HQG/,/files/ENCFF069HWX/,/files/ENCFF673RGQ/,/files/ENCFF257QZF/,/files/ENCFF135FPB/,/files/ENCFF794XIJ/,/files/ENCFF588YQA/,/files/ENCFF802WHB/,/files/ENCFF269YBV/,/files/ENCFF620VBI/,/files/ENCFF300RYK/	/reference-epigenomes/ENCSR066FYC/	ENCBS146XNZ	1	1	ENCAB000AXX	Homo sapiens	adult	54 years												/replicates/cf9d3c9f-6f09-438c-9b65-e043080c0067/				
/experiments/ENCSR527TPP/	ENCSR527TPP	ChIP-seq	TF ChIP-seq	tissue	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens uterus tissue female adult (51 years)	uterus	GEO:GSE174881,FactorBook:ENCSR527TPP		Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF166EUN/,/files/ENCFF447GBU/,/files/ENCFF924IAA/,/files/ENCFF529UQP/,/files/ENCFF949PVL/,/files/ENCFF354FED/,/files/ENCFF555PKQ/,/files/ENCFF875INP/,/files/ENCFF842ZWT/,/files/ENCFF541QXP/,/files/ENCFF711TIK/,/files/ENCFF113VYF/,/files/ENCFF450VON/,/files/ENCFF006OHA/,/files/ENCFF568NQD/,/files/ENCFF876NEE/,/files/ENCFF026LQR/,/files/ENCFF771TDP/,/files/ENCFF979XUR/,/files/ENCFF148UOD/,/files/ENCFF879PAY/,/files/ENCFF848IXS/,/files/ENCFF602LOK/,/files/ENCFF871HPI/,/files/ENCFF176QFQ/,/files/ENCFF257PBV/,/files/ENCFF046WEZ/	/experiment-series/ENCSR130MXV/,/reference-epigenomes/ENCSR700CXT/	ENCBS443NGH	1	2,1	ENCAB000AXX	Homo sapiens	adult	51 years												/replicates/011d7c8b-b227-4da2-a88c-ecbc6759dcda/,/replicates/a18de03c-be0e-46cf-a22b-07ec6fe74762/				
/experiments/ENCSR488ZNK/	ENCSR488ZNK	ChIP-seq	TF ChIP-seq	cell line	/targets/ZNF646-human/	ZNF646	ZNF646	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF646	HepG2	GEO:GSE187453	ChIP-Seq on HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF854HNF/,/files/ENCFF271AEG/,/files/ENCFF323DZO/,/files/ENCFF463KIB/,/files/ENCFF515FHM/,/files/ENCFF307AOU/,/files/ENCFF306IJV/,/files/ENCFF709QHW/,/files/ENCFF290ZNH/,/files/ENCFF817NNN/,/files/ENCFF736CHU/,/files/ENCFF567DLZ/,/files/ENCFF856RVZ/,/files/ENCFF230PCR/,/files/ENCFF757QTH/,/files/ENCFF670DWZ/,/files/ENCFF998CKM/,/files/ENCFF140VBO/,/files/ENCFF496HIK/,/files/ENCFF909HUG/,/files/ENCFF253YSN/,/files/ENCFF238DGF/,/files/ENCFF849PHA/,/files/ENCFF141MBP/		ENCBS464SUO,ENCBS354GCS	1,2	1	ENCAB697XQW	Homo sapiens	child	15 years										/organisms/human/		/replicates/d7fffc0b-30db-4a50-8486-91f078001eae/,/replicates/093e81d4-1709-4de3-a13e-008618f360b4/				
/experiments/ENCSR881YFU/	ENCSR881YFU	ChIP-seq	TF ChIP-seq	tissue	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens heart left ventricle tissue male adult (66 years)	heart left ventricle	GEO:GSE187879	CTCF TF ChIP-seq on heart left ventricle tissue male adult (66 years).	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF124NCY/,/files/ENCFF487RGR/,/files/ENCFF725KJG/,/files/ENCFF009YHH/,/files/ENCFF266QDM/,/files/ENCFF496ZFM/,/files/ENCFF081DAT/,/files/ENCFF543TES/,/files/ENCFF264ILU/,/files/ENCFF769GAB/,/files/ENCFF894KYN/,/files/ENCFF610GSX/,/files/ENCFF921BLS/,/files/ENCFF883YRD/,/files/ENCFF251ATC/	/reference-epigenomes/ENCSR113HRD/	ENCBS966SZA	1	1,2	ENCAB719MQZ	Homo sapiens	adult	66 years												/replicates/89d5b8c5-4090-43a3-8bae-ad4613afd9f3/,/replicates/fab494cd-45d5-4c37-b799-c87d3a615cfc/				
/experiments/ENCSR643JRH/	ENCSR643JRH	ChIP-seq	TF ChIP-seq	cell line	/targets/MAZ-human/	MAZ	MAZ	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens MAZ	K562	GEO:GSE175036	eGFP-MAZ ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF634THB/,/files/ENCFF019NTV/,/files/ENCFF967IXD/,/files/ENCFF027IXU/,/files/ENCFF674XZS/,/files/ENCFF389FLV/,/files/ENCFF266ORM/,/files/ENCFF585SED/,/files/ENCFF099KJR/,/files/ENCFF647YEK/,/files/ENCFF737KLZ/,/files/ENCFF884SOI/,/files/ENCFF361XNU/,/files/ENCFF139XXX/,/files/ENCFF254WJH/,/files/ENCFF416XSD/,/files/ENCFF677ANA/,/files/ENCFF459WXZ/,/files/ENCFF909JEM/,/files/ENCFF534DDA/,/files/ENCFF982GSZ/,/files/ENCFF377RBD/,/files/ENCFF962GWS/,/files/ENCFF159DFJ/,/files/ENCFF853SUU/,/files/ENCFF609XQY/		ENCBS506QOL,ENCBS519OFN	2,1	1	ENCAB728YTO	Homo sapiens	adult	53 years										/organisms/human/		/replicates/9b6466de-1d4e-4b84-8a0d-9a4a99e832aa/,/replicates/30dfcc58-b8c1-4868-8d5b-136c84107b0e/				
/experiments/ENCSR015KAM/	ENCSR015KAM	ChIP-seq	TF ChIP-seq	cell line	/targets/DMTF1-human/	DMTF1	DMTF1	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens DMTF1	K562	GEO:GSE230909	ChIP-Seq on K562	Richard Myers, HAIB	ENCODE	released	/files/ENCFF754BOW/,/files/ENCFF713JYV/,/files/ENCFF390FEA/,/files/ENCFF732ASF/,/files/ENCFF033INU/,/files/ENCFF517EZV/,/files/ENCFF252CBL/,/files/ENCFF879YYS/,/files/ENCFF492FBA/,/files/ENCFF133UIO/,/files/ENCFF964DDE/,/files/ENCFF698UAD/,/files/ENCFF399EVN/,/files/ENCFF249GNQ/,/files/ENCFF816BUG/,/files/ENCFF664SET/,/files/ENCFF505INE/,/files/ENCFF356ZTE/,/files/ENCFF564EHY/,/files/ENCFF510RXV/,/files/ENCFF404OQS/,/files/ENCFF698IBJ/,/files/ENCFF947QUY/,/files/ENCFF904OAM/		ENCBS128TGE,ENCBS703YSI	1,2	1	ENCAB697XQW	Homo sapiens	adult	53 years										/organisms/human/		/replicates/27c29aca-f585-47e7-9bf1-584c2625b910/,/replicates/95fcfe4f-2ba9-40b9-9062-22a4819b6a38/				
