TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC,odds_ratio,fisher_p_value,fisher_adj_pvalue,chi2_p_value,chi2_adj_pvalue
IRX4,93558,2528,17.58189304,0.475074559,37.00870253,5.209792653,5.209792653,18.0569676,94.07305715,37.00870253164557,0.0,0.0,0.0,0.0
ANHX,170301,52828,32.00382615,9.927705228,3.223688196,1.688712209,1.688712209,41.93153138,70.81028899,3.22368819565382,0.0,0.0,0.0,0.0
HOXD13,87130,7421,16.37391074,1.394591893,11.74100526,3.553484031,3.553484031,17.76850263,63.14009036,11.741005255356422,0.0,0.0,0.0,0.0
FOXG1,82715,9066,15.54422159,1.703728621,9.123648798,3.189610913,3.189610913,17.24795021,55.01425021,9.123648797705714,0.0,0.0,0.0,0.0
FOXP4,68699,6908,12.9102639,1.298186335,9.944846555,3.313949111,3.313949111,14.20845024,47.08608104,9.944846554719167,0.0,0.0,0.0,0.0
FOXJ2,68257,7006,12.82720103,1.316602991,9.742649158,3.284314114,3.284314114,14.14380402,46.45269516,9.742649157864687,0.0,0.0,0.0,0.0
FOXN3,62555,5826,11.75565232,1.094851417,10.7372125,3.424547597,3.424547597,12.85050373,44.00716167,10.73721249570889,0.0,0.0,0.0,0.0
SOX2,56411,4274,10.60104073,0.803191719,13.19864296,3.722317699,3.722317699,11.40423245,42.45017628,13.19864295741694,0.0,0.0,0.0,0.0
FOXO3,53587,3664,10.07034035,0.688557431,14.62527293,3.870391642,3.870391642,10.75889778,41.64114806,14.625272925764191,0.0,0.0,0.0,0.0
ZNF655,58100,5422,10.91844616,1.018929692,10.7156031,3.421641145,3.421641145,11.93737585,40.84541638,10.715603098487643,0.0,0.0,0.0,0.0
DMRT1,53805,6394,10.11130801,1.201592853,8.414920238,3.072949597,3.072949597,11.31290087,34.76397416,8.414920237722866,0.0,0.0,0.0,0.0
FOXC1,45907,3563,8.627075867,0.669576999,12.88436711,3.687549767,3.687549767,9.296652867,34.28187011,12.884367106371036,0.0,0.0,0.0,0.0
HOXB13,44558,3472,8.373564957,0.652475819,12.83352535,3.681845625,3.681845625,9.026040776,33.23248875,12.83352534562212,0.0,0.0,0.0,0.0
KLF11,38234,1817,7.185126859,0.341459839,21.04237755,4.395225817,4.395225817,7.526586698,33.08104817,21.042377545404513,0.0,0.0,0.0,0.0
FOXK1,36491,1595,6.857573474,0.299740475,22.87836991,4.515912358,4.515912358,7.157313949,32.32180251,22.878369905956113,0.0,0.0,0.0,0.0
TBP,35427,1464,6.657621207,0.275122292,24.19877049,4.596861843,4.596861843,6.932743499,31.86886406,24.19877049180328,0.0,0.0,0.0,0.0
PROP1,68772,18358,12.92398243,3.449928307,3.746159712,1.905412408,1.905412408,16.37391074,31.19905269,3.7461597123869703,0.0,0.0,0.0,0.0
NR3C2,49811,7317,9.360735313,1.375047686,6.807571409,2.767140211,2.767140211,10.735783,29.70741683,6.807571409047424,0.0,0.0,0.0,0.0
SOX3,36271,2124,6.81622996,0.399152834,17.076742,4.09396085,4.09396085,7.215382794,29.53949468,17.076741996233523,0.0,0.0,0.0,0.0
LHX9,55559,10984,10.44092858,2.064168892,5.058175528,2.338617102,2.338617102,12.50509747,29.2446348,5.0581755280407865,0.0,0.0,0.0,0.0
FOXN2,40501,3529,7.611152977,0.663187547,11.47662227,3.520626194,3.520626194,8.274340524,29.13085999,11.476622272598469,0.0,0.0,0.0,0.0
VSX1,57606,13964,10.82561118,2.62418558,4.125322257,2.044506823,2.044506823,13.44979676,27.49820124,4.1253222572328845,0.0,0.0,0.0,0.0
FOXM1,42337,5142,7.956183392,0.966310674,8.233566706,3.041517528,3.041517528,8.922494066,27.1379221,8.233566705562039,0.0,0.0,0.0,0.0
FOXS1,45015,7302,8.459446711,1.37222881,6.164749384,2.624042246,2.624042246,9.831675521,25.79873191,6.164749383730485,0.0,0.0,0.0,0.0
SOX4,37607,4149,7.067297844,0.779701086,9.064111834,3.180165661,3.180165661,7.846998931,24.95475654,9.06411183417691,0.0,0.0,0.0,0.0
TBPL2,33092,2659,6.218816185,0.499692743,12.44528018,3.637526805,3.637526805,6.718508927,24.43875631,12.445280180518992,0.0,0.0,0.0,0.0
VAX2,61948,21312,11.6415818,4.005058943,2.906719219,1.539391718,1.539391718,15.64664075,24.08630918,2.906719219219219,0.0,0.0,0.0,0.0
