,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS13,SBS17,SBS18,SBS20,SBS26,SBS30
AP-2,"[1, 1, 0]","[0, 2, 0]","[0, 2, 0]","[0, 2, 0]","[1, 1, 0]","[0, 2, 0]","[1, 1, 0]","[1, 0, 1]","[0, 0, 2]","[0, 2, 0]","[2, 0, 0]","[0, 1, 1]"
ARID/BRIGHT,"[5, 2, 0]","[5, 0, 2]","[4, 0, 3]","[3, 3, 1]","[5, 2, 0]","[4, 0, 3]","[3, 1, 3]","[1, 2, 4]","[4, 0, 3]","[4, 0, 3]","[1, 5, 1]","[4, 0, 3]"
AT hook,"[2, 0, 2]","[3, 1, 0]","[0, 3, 1]","[0, 3, 1]","[2, 0, 2]","[4, 0, 0]","[3, 0, 1]","[0, 2, 2]","[3, 0, 1]","[2, 0, 2]","[0, 3, 1]","[2, 0, 2]"
bHLH,"[8, 10, 2]","[1, 16, 3]","[14, 2, 4]","[9, 1, 10]","[9, 5, 6]","[9, 2, 9]","[19, 0, 1]","[18, 0, 2]","[4, 9, 7]","[15, 0, 5]","[12, 2, 6]","[2, 9, 9]"
Brinker,"[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]"
bZIP,"[11, 11, 7]","[8, 16, 5]","[14, 1, 14]","[15, 4, 10]","[14, 4, 11]","[11, 0, 18]","[19, 5, 5]","[10, 2, 17]","[6, 4, 19]","[17, 0, 12]","[6, 7, 16]","[5, 0, 24]"
C2H2 ZF,"[21, 32, 44]","[26, 29, 42]","[21, 12, 64]","[14, 19, 64]","[17, 33, 47]","[19, 21, 57]","[27, 20, 50]","[14, 10, 73]","[16, 16, 65]","[14, 10, 73]","[24, 17, 56]","[9, 11, 77]"
C2H2 ZF; BED ZF,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
C2H2 ZF; Homeodomain,"[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]"
CBF/NF-Y,"[2, 0, 2]","[3, 0, 1]","[0, 0, 4]","[0, 2, 2]","[2, 0, 2]","[3, 0, 1]","[0, 0, 4]","[0, 0, 4]","[0, 0, 4]","[2, 0, 2]","[0, 0, 4]","[0, 0, 4]"
CENPB,"[0, 4, 0]","[4, 0, 0]","[4, 0, 0]","[2, 2, 0]","[1, 2, 1]","[4, 0, 0]","[4, 0, 0]","[3, 0, 1]","[2, 0, 2]","[4, 0, 0]","[1, 2, 1]","[2, 0, 2]"
CSL,"[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]"
CUT; Homeodomain,"[2, 0, 2]","[1, 2, 1]","[3, 0, 1]","[0, 2, 2]","[3, 0, 1]","[3, 0, 1]","[0, 3, 1]","[0, 0, 4]","[2, 0, 2]","[2, 0, 2]","[0, 2, 2]","[2, 0, 2]"
CxxC,"[0, 7, 0]","[2, 5, 0]","[7, 0, 0]","[6, 0, 1]","[0, 7, 0]","[2, 2, 3]","[3, 0, 4]","[7, 0, 0]","[2, 5, 0]","[2, 2, 3]","[5, 1, 1]","[1, 3, 3]"
CxxC; AT hook,"[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[0, 1, 0]"
DM,"[4, 0, 0]","[4, 0, 0]","[1, 0, 3]","[0, 3, 1]","[4, 0, 0]","[4, 0, 0]","[4, 0, 0]","[0, 2, 2]","[4, 0, 0]","[4, 0, 0]","[0, 4, 0]","[4, 0, 0]"
E2F,"[0, 8, 0]","[1, 1, 6]","[7, 0, 1]","[7, 1, 0]","[0, 7, 1]","[2, 0, 6]","[1, 1, 6]","[3, 0, 5]","[1, 1, 6]","[1, 0, 7]","[4, 1, 3]","[0, 0, 8]"
Ets,"[0, 21, 1]","[8, 8, 6]","[16, 0, 6]","[21, 1, 0]","[0, 19, 3]","[7, 0, 15]","[1, 9, 12]","[1, 9, 12]","[19, 0, 3]","[0, 16, 6]","[13, 3, 6]","[1, 1, 20]"
Ets; AT hook,"[0, 1, 0]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]"
Forkhead,"[13, 5, 2]","[19, 0, 1]","[4, 9, 7]","[2, 13, 5]","[15, 3, 2]","[17, 0, 3]","[20, 0, 0]","[5, 7, 8]","[15, 1, 4]","[19, 0, 1]","[1, 18, 1]","[10, 0, 10]"
GATA,"[3, 0, 1]","[3, 1, 0]","[1, 1, 2]","[0, 2, 2]","[3, 0, 1]","[3, 0, 1]","[1, 2, 1]","[0, 3, 1]","[3, 0, 1]","[3, 0, 1]","[0, 3, 1]","[3, 0, 1]"
