TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
NFIL3,324,3,0.060887720412608266,0.0005637751890056321,108.0,6.754887502163468,6.754887502163468,bZIP,1.682832599734615e-56,6.781815376930499e-54,GOF
MNT,1193,16,0.2241946001612397,0.003006801008030038,74.5625,6.2203783276952285,6.2203783276952285,bHLH,1.0819189174383208e-198,4.360133237276433e-196,GOF
CREBZF,2285,39,0.4294087689592898,0.007329077457073218,58.58974358974359,5.872576231083184,5.872576231083184,bZIP,0.0,0.0,GOF
HMG20A,275,5,0.05167939232551628,0.0009396253150093869,55.0,5.78135971352466,5.78135971352466,HMG/Sox,5.423382131140821e-45,2.185622998849751e-42,GOF
CREB3L2,4738,87,0.890388948502895,0.01634948048116333,54.45977011494253,5.767118987391503,5.767118987391503,bZIP,0.0,0.0,GOF
ZNF623,101,2,0.018980431363189613,0.00037585012600375474,50.5,5.658211482751795,5.658211482751795,C2H2 ZF,4.5808405755690126e-17,1.846078751954312e-14,GOF
HLF,2763,61,0.5192369490741872,0.01146342884311452,45.295081967213115,5.501282509249606,5.501282509249606,bZIP,0.0,0.0,GOF
ZNF12,122,3,0.02292685768622904,0.0005637751890056321,40.666666666666664,5.34577483684173,5.34577483684173,C2H2 ZF,7.36768759058261e-20,2.969178099004792e-17,GOF
MAZ,1,40,0.00018792506300187737,0.007517002520075095,0.025,-5.321928094887363,5.321928094887363,C2H2 ZF,4.4382675631642065e-07,0.00017886218279551753,LOF
IRX4,93558,2528,17.581893044329643,0.475074559268746,37.00870253164557,5.209792652736455,5.209792652736455,Homeodomain,0.0,0.0,GOF
FOXB2,15691,439,2.948732163562458,0.08249910265782416,35.74259681093394,5.159572549360756,5.159572549360756,Forkhead,0.0,0.0,GOF
DMRTA2,15461,446,2.905509399072026,0.08381457809883731,34.66591928251121,5.115446113793841,5.115446113793841,DM,0.0,0.0,GOF
MYC,377,11,0.07084774875170777,0.002067175693020651,34.27272727272727,5.098989094631367,5.098989094631367,bHLH,2.7485982467706985e-57,1.1076850934485916e-54,GOF
ZNF596,25,855,0.004698126575046934,0.16067592886660514,0.029239766081871343,-5.095924419998536,5.095924419998536,C2H2 ZF,1.74083526519908e-128,7.015566118752293e-126,LOF
WT1,9290,293,1.7458238352874407,0.05506204345955007,31.706484641638227,4.986706026847767,4.986706026847767,C2H2 ZF,0.0,0.0,GOF
ZNF148,3,94,0.0005637751890056321,0.017664955922176474,0.031914893617021274,-4.9696263509564815,4.9696263509564815,C2H2 ZF,6.3339448552421555e-15,2.5525797766625885e-12,LOF
ZNF513,5,150,0.0009396253150093869,0.028188759450281604,0.03333333333333333,-4.906890595608519,4.906890595608519,C2H2 ZF,4.9471019265039645e-23,1.9936820763810977e-20,LOF
ZHX1,2468,85,0.46379905548863337,0.015973630355159578,29.03529411764706,4.859735743011716,4.859735743011716,Homeodomain,0.0,0.0,GOF
ZNF76,0,28,0.0,0.005261901764052566,0.034482758620689655,-4.857980995127572,4.857980995127572,C2H2 ZF,1.3822033558200038e-05,0.005570279523954615,LOF
DBX1,4667,168,0.8770462690297617,0.031571410584315396,27.779761904761905,4.795962329185383,4.795962329185383,Homeodomain,0.0,0.0,GOF
DMRT2,1956,71,0.36758142323167214,0.013342679473133293,27.549295774647888,4.783943535447552,4.783943535447552,DM,1.5166504482966226e-280,6.112101306635389e-278,GOF
FOXP1,11583,434,2.1767360047507456,0.08155947734281478,26.6889400921659,4.738170107218535,4.738170107218535,Forkhead,0.0,0.0,GOF
DBP,5367,202,1.0085938131310759,0.037960862726379226,26.56930693069307,4.73168869002127,4.73168869002127,bZIP,0.0,0.0,GOF
CENPBD1,5464,207,1.026822544242258,0.03890048804138862,26.396135265700483,4.722254810790766,4.722254810790766,CENPB,0.0,0.0,GOF
MGA,25,0,0.004698126575046934,0.0,26.0,4.700439718141092,4.700439718141092,T-box,2.930898044401382e-05,0.01181151911893757,GOF
TBP,35427,1464,6.65762120696751,0.2751222922347485,24.19877049180328,4.596861842782284,4.596861842782284,TBP,0.0,0.0,GOF
ZBTB44,12981,541,2.4394552428273704,0.10166745908401566,23.994454713493532,4.584629122316232,4.584629122316232,C2H2 ZF,0.0,0.0,GOF
POU5F1,3415,145,0.6417640901514112,0.02724913413527222,23.551724137931036,4.557760773162518,4.557760773162518,Homeodomain; POU,0.0,0.0,GOF
FOXK1,36491,1595,6.857573474001507,0.29974047548799443,22.878369905956113,4.515912358001385,4.515912358001385,Forkhead,0.0,0.0,GOF
HMGB3,16578,729,3.115421694445123,0.1369973709283686,22.74074074074074,4.507207343206711,4.507207343206711,HMG/Sox,0.0,0.0,GOF
