,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS13,SBS17,SBS18,SBS20,SBS26,SBS30
AP-2,"[1, 1, 0]","[0, 2, 0]","[0, 1, 1]","[0, 1, 1]","[1, 1, 0]","[0, 2, 0]","[1, 1, 0]","[1, 0, 1]","[0, 0, 2]","[0, 0, 2]","[0, 0, 2]","[0, 1, 1]"
ARID/BRIGHT,"[1, 2, 4]","[5, 0, 2]","[4, 0, 3]","[2, 5, 0]","[5, 2, 0]","[4, 0, 3]","[3, 2, 2]","[1, 3, 3]","[4, 0, 3]","[0, 0, 7]","[0, 4, 3]","[4, 0, 3]"
AT hook,"[1, 0, 3]","[3, 1, 0]","[0, 3, 1]","[0, 3, 1]","[2, 0, 2]","[2, 0, 2]","[3, 0, 1]","[0, 2, 2]","[2, 0, 2]","[0, 0, 4]","[0, 3, 1]","[3, 0, 1]"
bHLH,"[8, 10, 2]","[1, 16, 3]","[5, 3, 12]","[9, 0, 11]","[9, 4, 7]","[8, 0, 12]","[17, 0, 3]","[17, 0, 3]","[1, 8, 11]","[0, 0, 20]","[11, 1, 8]","[2, 10, 8]"
Brinker,"[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]"
bZIP,"[8, 12, 9]","[7, 16, 6]","[7, 2, 20]","[7, 4, 18]","[15, 3, 11]","[7, 0, 22]","[19, 5, 5]","[10, 2, 17]","[2, 1, 26]","[0, 0, 29]","[6, 6, 17]","[7, 0, 22]"
C2H2 ZF,"[21, 28, 48]","[24, 25, 48]","[12, 14, 71]","[14, 14, 69]","[18, 32, 47]","[12, 8, 77]","[26, 20, 51]","[15, 10, 72]","[10, 14, 73]","[0, 0, 97]","[19, 15, 63]","[9, 10, 78]"
C2H2 ZF; BED ZF,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]"
C2H2 ZF; Homeodomain,"[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]"
CBF/NF-Y,"[1, 0, 3]","[2, 0, 2]","[0, 0, 4]","[0, 0, 4]","[2, 0, 2]","[0, 0, 4]","[0, 0, 4]","[0, 0, 4]","[0, 0, 4]","[0, 0, 4]","[0, 0, 4]","[0, 0, 4]"
