TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),DBD_family,p_value_fisher,q_value_fisher,TF_binding
DMRTA2,4956,3,7.47342230264646,0.004523863379325944,1652.0,10.689997971419446,10.689997971419446,DM,0.0,0.0,GOF
FOXP1,1168,0,1.7612908090175676,0.0,1169.0,10.191059214531656,10.191059214531656,Forkhead,3.136052078270972e-219,1.2638289875432017e-216,GOF
FOXK1,2480,5,3.739727060242781,0.007539772298876574,496.0,8.954196310386875,8.954196310386875,Forkhead,0.0,0.0,GOF
ZBTB8A,0,486,0.0,0.732865867450803,0.002053388090349076,-8.927777962082342,8.927777962082342,C2H2 ZF,2.0355162863547907e-91,8.203130634009806e-89,LOF
WT1,8057,18,12.149589082409712,0.027143180275955667,447.6111111111111,8.806102038747522,8.806102038747522,C2H2 ZF,0.0,0.0,GOF
JUND,258,1,0.3890522506220312,0.0015079544597753148,258.0,8.011227255423254,8.011227255423254,bZIP,3.5922476056839363e-47,1.4476757850906265e-44,GOF
GABPA,0,252,0.0,0.38000452386337935,0.003952569169960474,-7.98299357469431,7.98299357469431,Ets,1.4524911932433783e-47,5.853539508770815e-45,LOF
ARID3B,1961,8,2.957098695619392,0.012063635678202518,245.125,7.937373820192149,7.937373820192149,ARID/BRIGHT,0.0,0.0,GOF
ZFY,1,223,0.0015079544597753148,0.33627384452989517,0.004484304932735426,-7.800899899920305,7.800899899920305,C2H2 ZF,1.9428089169822488e-40,7.829519935438462e-38,LOF
FOSL2,196,0,0.2955590741159617,0.0,197.0,7.622051819456376,7.622051819456376,bZIP,4.538717888243287e-37,1.8291033089620448e-34,GOF
TFDP2,0,172,0.0,0.25936816708135413,0.005780346820809248,-7.434628227636725,7.434628227636725,E2F,1.4279277605984898e-32,5.754548875211914e-30,LOF
ZNF574,0,164,0.0,0.24730453140315162,0.006060606060606061,-7.366322214245816,7.366322214245816,C2H2 ZF,4.507778034608104e-31,1.8166345479470657e-28,LOF
SP4,1,163,0.0015079544597753148,0.2457965769433763,0.006134969325153374,-7.348728154231077,7.348728154231077,C2H2 ZF,2.5093297725985114e-29,1.0112598983572002e-26,LOF
DNMT1,71,11531,0.10706476664404735,17.388222875669154,0.006157315063741219,-7.343482892937474,7.343482892937474,CxxC,0.0,0.0,LOF
JUN,132,0,0.19904998869034154,0.0,133.0,7.05528243550119,7.05528243550119,bZIP,4.47689903907733e-25,1.804190312748164e-22,GOF
SP1,0,131,0.0,0.19754203423056624,0.007575757575757576,-7.044394119358453,7.044394119358453,C2H2 ZF,3.9845158960316007e-25,1.605759906100735e-22,LOF
ZBTB11,0,110,0.0,0.16587499057528463,0.009009009009009009,-6.794415866350106,6.794415866350106,C2H2 ZF,5.941688986172148e-21,2.3945006614273757e-18,LOF
FOS,205,2,0.30913066425393954,0.0030159089195506295,102.5,6.679480099505446,6.679480099505446,bZIP,5.693239175255122e-36,2.2943753876278142e-33,GOF
FOXO3,5198,51,7.838347281912086,0.07690567744854106,101.92156862745098,6.671315576500705,6.671315576500705,Forkhead,0.0,0.0,GOF
FOXC1,3524,36,5.3140315162482095,0.054286360551911335,97.88888888888889,6.613073207478101,6.613073207478101,Forkhead,0.0,0.0,GOF
ARID4B,2,182,0.0030159089195506295,0.2744477116791073,0.01098901098901099,-6.507794640198696,6.507794640198696,ARID/BRIGHT,1.5780579462523038e-31,6.359573523396785e-29,LOF
ZBTB2,2,171,0.0030159089195506295,0.2578602126215788,0.011695906432748537,-6.417852514885898,6.417852514885898,C2H2 ZF,9.453419834897882e-30,3.809728193463846e-27,LOF
TFDP1,0,75,0.0,0.1130965844831486,0.013157894736842105,-6.247927513443585,6.247927513443585,E2F,1.2458624082889646e-14,5.0208255054045275e-12,LOF
HMGB3,5769,76,8.69938927844379,0.11460453894292393,75.90789473684211,6.246178034617468,6.246178034617468,HMG/Sox,0.0,0.0,GOF
KMT2A,297,21930,0.4478624745532685,33.069441302872654,0.013543091655266758,-6.20629907076019,6.20629907076019,CxxC; AT hook,0.0,0.0,LOF
